"target_piece","loc_removed","remove_value","file_removed","rank_removed"
"R","a1",692,1,1
"R","a1",696,1,1
"R","a1",718,1,1
"R","a1",692,1,1
"R","a1",606,1,1
"R","a1",644,1,1
"R","a1",642,1,1
"R","a1",656,1,1
"R","a1",647,1,1
"R","a1",655,1,1
"R","a1",637,1,1
"R","a1",676,1,1
"R","a1",666,1,1
"R","a1",664,1,1
"R","a1",660,1,1
"R","a1",676,1,1
"R","a1",687,1,1
"R","a1",699,1,1
"R","a1",661,1,1
"R","a1",721,1,1
"R","a1",663,1,1
"R","a1",686,1,1
"R","a1",693,1,1
"R","a1",691,1,1
"R","a1",700,1,1
"R","a1",737,1,1
"R","a1",769,1,1
"R","a1",738,1,1
"R","a1",694,1,1
"R","a1",823,1,1
"R","a1",392,1,1
"R","a1",726,1,1
"R","a1",705,1,1
"R","a1",700,1,1
"R","b1",1158,2,1
"R","b1",930,2,1
"R","b1",872,2,1
"R","b1",920,2,1
"R","b1",892,2,1
"R","b1",854,2,1
"R","b1",900,2,1
"R","b1",951,2,1
"R","b7",862,2,7
"R","b7",853,2,7
"R","b8",799,2,8
"R","b8",827,2,8
"R","b8",827,2,8
"R","b8",1023,2,8
"R","b8",1000,2,8
"R","b8",840,2,8
"R","d8",871,4,8
"R","d8",832,4,8
"R","d5",908,4,5
"R","d5",923,4,5
"R","d7",1030,4,7
"R","d7",930,4,7
"R","d6",909,4,6
"R","d6",953,4,6
"R","d6",927,4,6
"R","d6",863,4,6
"R","d6",786,4,6
"R","d7",731,4,7
"R","a7",779,1,7
"R","a7",734,1,7
